Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,year,lap_time_seconds,is_pit_stop,stint_lap_number,total_stint_laps,avg_stint_pace,delta_to_avg,is_out_lap,is_in_lap
0 days 00:09:24.615000,VAN,2,0 days 00:01:47.506000,1.0,,,,,0 days 00:00:45.460000,0 days 00:00:24.463000,,0 days 00:09:00.193000,0 days 00:09:24.810000,228.0,248.0,280.0,234.0,False,,,True,McLaren,0 days 00:07:36.924000,,21,18.0,False,,False,False,2018,107.506,False,,,,,False,False
0 days 00:11:19.684000,VAN,2,0 days 00:01:55.069000,2.0,1.0,,,0 days 00:00:31.674000,0 days 00:00:43.438000,0 days 00:00:39.957000,0 days 00:09:56.289000,0 days 00:10:39.727000,0 days 00:11:19.684000,230.0,256.0,172.0,296.0,True,SUPERSOFT,1.0,True,McLaren,0 days 00:09:24.615000,,126,16.0,False,,False,False,2018,115.069,False,1.0,9.0,104.797,10.272000000000006,True,False
0 days 00:13:26.696000,VAN,2,0 days 00:02:07.012000,3.0,1.0,,,0 days 00:00:39.632000,0 days 00:00:52.753000,0 days 00:00:34.627000,0 days 00:11:59.316000,0 days 00:12:52.069000,0 days 00:13:26.696000,199.0,208.0,210.0,185.0,False,SUPERSOFT,2.0,True,McLaren,0 days 00:11:19.684000,,6,15.0,False,,False,False,2018,127.012,False,2.0,9.0,104.797,22.215000000000003,False,False
0 days 00:15:17.371000,VAN,2,0 days 00:01:50.675000,4.0,1.0,,,0 days 00:00:38.527000,0 days 00:00:48.209000,0 days 00:00:23.939000,0 days 00:14:05.223000,0 days 00:14:53.432000,0 days 00:15:17.371000,159.0,257.0,280.0,218.0,True,SUPERSOFT,3.0,True,McLaren,0 days 00:13:26.696000,,671,15.0,False,,False,False,2018,110.675,False,3.0,9.0,104.797,5.878,False,False
0 days 00:16:55.324000,VAN,2,0 days 00:01:37.953000,5.0,1.0,,,0 days 00:00:30.912000,0 days 00:00:42.478000,0 days 00:00:24.563000,0 days 00:15:48.283000,0 days 00:16:30.761000,0 days 00:16:55.324000,234.0,256.0,278.0,301.0,True,SUPERSOFT,4.0,True,McLaren,0 days 00:15:17.371000,,12,14.0,False,,False,True,2018,97.953,False,4.0,9.0,104.797,-6.843999999999994,False,False
0 days 00:18:33.079000,VAN,2,0 days 00:01:37.755000,6.0,1.0,,,0 days 00:00:31.217000,0 days 00:00:42.393000,0 days 00:00:24.145000,0 days 00:17:26.541000,0 days 00:18:08.934000,0 days 00:18:33.079000,233.0,258.0,287.0,290.0,True,SUPERSOFT,5.0,True,McLaren,0 days 00:16:55.324000,,21,14.0,False,,False,True,2018,97.755,False,5.0,9.0,104.797,-7.042000000000002,False,False
0 days 00:20:11.139000,VAN,2,0 days 00:01:38.060000,7.0,1.0,,,0 days 00:00:31.372000,0 days 00:00:42.477000,0 days 00:00:24.211000,0 days 00:19:04.451000,0 days 00:19:46.928000,0 days 00:20:11.139000,235.0,255.0,278.0,313.0,False,SUPERSOFT,6.0,True,McLaren,0 days 00:18:33.079000,,1,13.0,False,,False,True,2018,98.06,False,6.0,9.0,104.797,-6.736999999999995,False,False
0 days 00:21:49.094000,VAN,2,0 days 00:01:37.955000,8.0,1.0,,,0 days 00:00:31.052000,0 days 00:00:42.496000,0 days 00:00:24.407000,0 days 00:20:42.191000,0 days 00:21:24.687000,0 days 00:21:49.094000,232.0,251.0,278.0,294.0,False,SUPERSOFT,7.0,True,McLaren,0 days 00:20:11.139000,,1,13.0,False,,False,True,2018,97.955,False,7.0,9.0,104.797,-6.841999999999999,False,False
0 days 00:23:27.142000,VAN,2,0 days 00:01:38.048000,9.0,1.0,,,0 days 00:00:31.397000,0 days 00:00:42.444000,0 days 00:00:24.207000,0 days 00:22:20.491000,0 days 00:23:02.935000,0 days 00:23:27.142000,,255.0,278.0,293.0,False,SUPERSOFT,8.0,True,McLaren,0 days 00:21:49.094000,,1,13.0,False,,False,True,2018,98.048,False,8.0,9.0,104.797,-6.748999999999995,False,False
0 days 00:25:07.788000,VAN,2,0 days 00:01:40.646000,10.0,1.0,,0 days 00:25:06.055000,0 days 00:00:31.202000,0 days 00:00:42.418000,0 days 00:00:27.026000,0 days 00:23:58.344000,0 days 00:24:40.762000,0 days 00:25:07.788000,233.0,255.0,,294.0,False,SUPERSOFT,9.0,True,McLaren,0 days 00:23:27.142000,,12,14.0,False,,False,False,2018,100.646,True,9.0,9.0,104.797,-4.150999999999996,False,True
